"Timestamp","Nama Citra","Kelompok","Nilai R","Nilai G","Nilai B","Nilai H","Nilai S","Nilai V"
"Thu-25-May-2023 11-38-17","11a","Tomat Tidak Matang","0.34","0.43","0.23","86.13","47.72","43.2","17695"
"Thu-25-May-2023 11-38-37","11b","Tomat Tidak Matang","0.34","0.43","0.23","86.41","45.89","42.75","17502"
"Thu-25-May-2023 11-39-03","12a","Tomat Tidak Matang","0.34","0.43","0.24","88.76","44.3","42.65","14585"
"Thu-25-May-2023 11-39-22","12b","Tomat Tidak Matang","0.34","0.42","0.24","89.1","43.24","42.41","14362"
"Thu-25-May-2023 11-39-39","13a","Tomat Tidak Matang","0.34","0.43","0.22","85.71","48.68","43.39","14779"
"Thu-25-May-2023 11-39-56","13b","Tomat Tidak Matang","0.34","0.43","0.22","85.64","48.23","43.26","15036"
"Thu-25-May-2023 11-40-21","14a","Tomat Tidak Matang","0.33","0.44","0.22","89.41","49.07","44.08","16668"
"Thu-25-May-2023 11-40-37","14b","Tomat Tidak Matang","0.34","0.43","0.22","85.29","48.88","43.38","16029"
"Thu-25-May-2023 11-40-54","15a","Tomat Tidak Matang","0.34","0.45","0.21","86.24","54.29","45.05","18318"
"Thu-25-May-2023 11-41-11","15b","Tomat Tidak Matang","0.35","0.45","0.2","84.09","55.67","45.05","19272"
"Sun-11-Jun-2023 16-06-27","1a","Tomat Tidak Matang","0.33","0.45","0.21","91.0","52.84","45.48","17764"
"Sun-11-Jun-2023 16-07-33","1a","Tomat Tidak Matang","0.33","0.45","0.21","91.0","52.84","45.48","17764"
"Mon-12-Jun-2023 07-04-37","1A","Tomat Matang","0.36","0.25","0.39","180.0","34.48","38.7","357120"
"Mon-12-Jun-2023 07-06-13","1A","Tomat Matang","0.61","0.22","0.17","6.81","71.77","60.75","18224"
